body,title,url
"El rey Salmán de Arabia Saudí ha anunciado este jueves cambios importantes tanto en su Gobierno como en el área de seguridad nacional que, según los analistas, refuerzan la posición de su hijo y heredero, el príncipe Mohamed bin Salmán. Entre los nombramientos más llamativos, el del nuevo ministro de Exteriores, Ibrahim al Asaf, antiguo titular de Finanzas y que estuvo entre los afectados por la purga del Ritz-Carlton. También se renuevan los puestos clave de ministro de la Guardia Nacional y consejero de Seguridad Nacional. El heredero se mantiene al frente del Ministerio de Defensa y también conservan su puesto los titulares de Energía y Finanzas.",Arabia Saudí remodela su Gobierno y releva al ministro de Exteriores,https://elpais.com/internacional/2018/12/27/actualidad/1545918233_193480.html
"A través de la niebla, emerge la figura a caballo de Arthur Morgan. Un hombre hostil, en una tierra hostil. La sangre seca salpica sus botas; el hambre, el frío y un pesar en el corazón al que no pueden ponerse palabras. La noche en las montañas amenaza con traer la muerte y el olvido a todos los que han confiado su vida a Dutch. La banda ha visto días mejores, pero la suerte puede volverse propicia tan pronto como antes volvía la espalda. Una tierra sin reglas.",Red Dead Redemption II: La verdadera noche americana,https://elpais.com/cultura/2018/12/27/1up/1545936775_050727.html
"""En 1984, un joven programador intenta adaptar una caótica novela de fantasía a un vídeojuego. Un desafío alucinante que lo llevará a cuestionarse la realidad que le rodea. Bienvenidos de nuevo"". Esta es la frase con la que Netflix ha presentado el tráiler de Black Mirror: Bandersnatch, la nueva entrega de Black Mirror, que es una película, y que como se rumoreaba, la plataforma estrenará el viernes 28 de diciembre.",Netflix estrena ‘Black Mirror: Bandersnatch’ el 28 de diciembre,https://elpais.com/cultura/2018/12/27/television/1545911387_279894.html
"The organization Es Racismo (It’s Racism) has denounced a xenophobic incident that took place in a store in the Bravo Murillo neighborhood of Madrid, and soon went viral via social media.",Woman’s racist rant to Madrid store clerk goes viral,https://elpais.com/elpais/2018/12/27/inenglish/1545905435_258020.html
"En una de sus últimas entrevistas, Roberto Bolaño contó a modo de chiste su método secreto para abarcar tantas y tantas lecturas estadounidenses. Su amigo Rodrigo Fresán se encargaba de los autores de la costa oeste, él se quedaba con los del este y luego se contaban lo que había leído cada uno. La anécdota la recordó el catedrático y crítico de EL PAÍS Eduardo Lago durante la presentación en la Feria del Libro de Guadalajara de su ensayo, Aquí no vive Walt Whitman (Sexto Piso). “Años después de aquella entrevista –contaba Lago tras la presentación– una crítica muy importante me dijo: Fresán y tú le debéis a los lectores en español un libro sobre la literatura norteamericana. Y se me quedó clavado”.",¿Qué diablos es eso de la gran novela americana?,https://elpais.com/cultura/2018/12/27/actualidad/1545868053_244858.html
"El secretario general de la Organización de Estados Americanos (OEA), el uruguayo Luis Almagro, elevó hoy la parada al régimen que lidera el sandinista Daniel Ortega, al anunciar que iniciaría el proceso para aplicar la Carta Democrática de ese organismo contra Nicaragua. Se trata de una medida urgente para presionar al Gobierno de Ortega a respetar la institucionalidad en un país sumido en una profunda crisis política, que ha dejado más de 325 muertos desde abril, cuando comenzaron las protestas contra Ortega. Almagro, además, dijo que la OEA “buscará” la justicia internacional para que sean juzgados los responsables de los crímenes contra civiles en este país centroamericano.",La OEA amenaza a Nicaragua con su expulsión,https://elpais.com/internacional/2018/12/27/america/1545942229_670496.html
"Italia había decidido imitar la entrañable tradición inglesa de celebrar partidos en fechas navideñas para impregnar su fútbol del ambiente festivo y familiar que imbuye en estas fechas los estadios de la Premier League. Una iniciativa que fue reventada por la violencia ultra antes y durante el Inter de Milán-Nápoles disputado el pasado miércoles. En los prolegómenos del partido, los aledaños del Giuseppe Meazza se convirtieron en una batalla sangrienta entre ultras de uno y otro club.",La violencia ultra arruina el Boxing Day italiano,https://elpais.com/deportes/2018/12/27/actualidad/1545914830_615993.html
"La ministra de Trabajo, Magdalena Valerio, selló ayer finalmente, con las asociaciones más representativas de los trabajadores autónomos (ATA, UPTA, Uatae y CEAT), el acuerdo que fija cuánto cotizarán los miembros de este colectivo a la Seguridad Social el próximo año. Este pacto ya quedó cerrado hace unas semanas tras numerosos desencuentros, pero ayer se escenificó la firma del acuerdo, que ha quedado recogido legalmente en el proyecto de Real Decreto-Ley en materia de Seguridad Social que aprobará el próximo viernes el último Consejo de Ministros del año.",Así quedan todas las cotizaciones de los autónomos desde enero próximo,https://cincodias.elpais.com/cincodias/2018/12/26/midinero/1545827111_370656.html
"El Congreso mexicano ha dado luz verde pasada la medianoche de este lunes a los primeros Presupuestos de López Obrador con modificaciones en algunas partidas respecto al proyecto presentado por el Gobierno el pasado 15 de diciembre. La que más pierde respecto al plan original es justicia y entre las que más ganan están agricultura y educación. Las quejas y presiones -el Congreso ha estado bloqueado varios días por organizaciones de agricultores- y el arrepentimiento del presidente sobre el recorte a las universidades públicas han tenido su efecto sobre el texto final. Unos Presupuestos que todavía pueden verse modificados con la votación de las enmiendas que se han presentado, pero que fundamentalmente quedan así:



MÁS INFORMACIÓN














El Congreso mexicano aprueba el primer Presupuesto de López Obrador






López Obrador manda una señal de certidumbre con los presupuestos









- El Presupuesto final será de 23.800 millones de pesos más (1.200 millones de dólares) que lo planeado en el proyecto de López Obrador. La cantidad final ascenderá a 5,8 billones, frente a los 5,2 del las últimas cuentas públicas presentadas por el Ejecutivo de Enrique Peña Nieto.

- Además de este incremento, el Congreso ha hecho reasignaciones por valor de 16.700 millones de pesos que le han permitido rebajar la tensión con algunos sectores -como la cultura o el de los agricultores-, especialmente molestos por las cuentas presentadas por el Ejecutivo.",Así queda el Presupuesto mexicano tras su aprobación en el Congreso,https://elpais.com/internacional/2018/12/24/mexico/1545681416_413856.html
"Un francés de 71 años de edad zarpó el miércoles de las Islas Canarias en una cápsula naranja en forma de barril, con la esperanza de llegar al Caribe en tres meses impulsado únicamente por las corrientes del Atlántico. ""El tiempo es excelente, tengo un oleaje de un metro y me muevo a dos o tres kilómetros por hora"", dijo Jean-Jacques Savin por teléfono después de partir de la isla de El Hierro. ""Por el momento mi cápsula se está comportando muy muy bien y tengo pronóstico de vientos favorables hasta el domingo"", añadió.","Cruzar el Atlántico en un barril impulsado por las corrientes marinas, el reto de un francés de 71 años",https://elpais.com/internacional/2018/12/27/mundo_global/1545893864_772823.html
